类型,书名,出版日期,出版社,现价,原价,折扣,详细说明,图片地址
Go 语言, Go语言之路(从新手到高手的编程思想方法和技巧1)/华章程序员书库机械工业出版社雨韵图书专营店 正版图书保证质量 七天无理由退货让您购物无忧,2021-11-01,机械工业出版社,¥84.20,¥99.00,8.51折 ,（1）作者经验丰富：Go技术专家和架构师，曾任东软集团开发部技监，现为东软睿驰智能网联汽车业务线车联网平台架构师。（2）经典精华提炼：内容基于Go标准库、第三方库、Go项目等高质量Go代码，分析并提炼其中编程实践精华。（3）3大社区力荐：Go社区、GopherChina、Go语言中文网3大社。（4）语言设计哲学：从Go语言设计者的角度，透析Go语言设计的哲学，揭开那些看似随意实为精心设计的秘密。（5）Go编程思想：不掌握Go语言编程思想不足以说明精通Go语言编程，本书会无声息地将编程思想融入你的日常编码。（6）66个主题：从项目结构、代码风格、语法及其实现、接口、并发、同步、错误与异常处理、测试与调试、能优化、标准库、第三方库、工具链、*佳实践、工程实践等方结能帮助初学者快阶的66个主题。,https://img3m2.ddimg.cn/44/22/11336736752-1_b_1.jpg
Go 语言, Go语言学习笔记 Go语言实战指南 go语言编程入门教程 系程语言程序设计教材 go语言程序设计教程书籍 ,2023-02-14,电子工业出版社,¥60.00,¥89.00,6.75折 ,,https://img3m0.ddimg.cn/39/13/11375808780-1_b_2.jpg
Go 语言, Go语言极简一本通：零基础入门到项目实战 VB、Basic 定价99元 欢喜 9787121407482 电子工业出版社 ,2021-04-01,电子工业出版社,¥90.00,¥99.00,9.1折 ,,https://img3m8.ddimg.cn/28/18/11153758798-1_b_1.jpg
Go 语言, GO语言实战+GO语言高 编程+GO web编程 3本图书籍 9787121207402 ,2013-09-01,不详,¥211.25,¥237.54,8.9折 ,,https://img3m7.ddimg.cn/58/32/11373449827-1_b_1.jpg
Go 语言, 【官方旗舰店】Go语言高级编程 柴树杉曹春辉著 go语言进阶实战云计算云存储区块链web编程书程序设计入门计算机网络电脑 官方旗舰店质量保证！支持团购优惠，出版社库房直发，提供正规电子发票,,人民邮电出版社,¥66.75,¥89.00,7.5折 ,,https://img3m8.ddimg.cn/6/33/11328864828-1_b_1.jpg
Go 语言, Go语言从入门到进阶实战：视频教学版|8014297 ,2018-06-01,机械工业出版社,¥94.10,¥99.00,9.51折 ,,https://img3m4.ddimg.cn/67/10/11377231834-1_b_1.jpg
Go 语言, Go语言项目开发上手指南 谢伟 核心知识 应用 图表库 命令行工具 网络爬虫 GraphQL 面向接口编程【官方直发】 官方直营发货，100%正版！支持团购优惠价，提供正规电子发票,2021-06-01,机械工业出版社,¥83.00,¥119.00,6.98折 ,,https://img3m3.ddimg.cn/40/28/11369248843-1_b_1.jpg
Go 语言, Go语言实战+Go语言**编程+Go Web编程 全三册 零基础web前端开发 程序员数据分析程序设计入门自学书电脑编程 ,2021-01-01,科学出版社,¥189.76,¥237.80,7.98折 ,,https://img3m3.ddimg.cn/18/30/11187453933-1_b_1.jpg
Go 语言," GO语言编程实战 9787302523017 强彦,王军红 清华大学出版社 【正版书籍，达额立减】 ",2019-08-01,清华大学出版社,¥50.83,¥59.00,8.62折 ,,https://img3m1.ddimg.cn/21/33/11428167981-1_b_1.jpg
Go 语言, Go语言高并发与微服务实战 中国铁道出版社 新华书店正版，关注店铺成为会员可享店铺专属优惠，团购客户请咨询在线客服！,2020-04-01,中国铁道出版社,¥56.00,¥89.00,6.3折 ,深入Go语言和微服务框架，提供高并发场景下Go微服务应用实战案例,https://img3m2.ddimg.cn/5/33/1620874832-1_b_18.jpg
Go 语言, Go语言编程 许式伟 吕桂华 等编著 人民邮电出版社，【正版保证】 全国三仓发货，物流便捷，下单秒杀，欢迎选购！,2012-09-01,人民邮电出版社,¥11.00,¥29.37,3.75折 ,《Go语言编程》首先概览了Go语言的诞生和发展历程，从面向过程编程特性入手介绍Go语言的基础用法，让有C语言基础的读者可以非常迅速地入门并开始上手用Go语言来解决实际问题，之后介绍了Go语言简洁却又无比强大的面向对象编程特性和并发编程能力，至此读者已经可以理解为什么Go语言是为互联网时代而生的语言。 从实用性角度出发，本书还介绍了Go语言标准库和配套工具的用法，包括安全编程、网络编程、工程管理工具等。 对于希望对Go语言有更深入了解的读者，我们也特别组织了一系列进阶话题，包括语言交互性、链接符号、goroutine机理和接口机制等。,https://img3m1.ddimg.cn/6/28/11233281021-1_b_1.jpg
Go 语言, Go语言入门经典 清华大学出版社 ,2021-03-01,清华大学出版社,¥81.00,¥99.00,8.19折 ,,https://img3m3.ddimg.cn/82/10/11410535053-1_b_2.jpg
Go 语言, Go语言高并发与微服务实战 go语言编程教程书籍 Go语言入门教材书籍 golang教程自学Go语言学习笔记 go语言程 ,,中国铁道出版社,¥78.00,¥89.00,8.77折 ,,https://img3m5.ddimg.cn/97/2/11390660125-1_b_1.jpg
Go 语言, Go语言精进之路：从新手到高手的编程思想方法和技巧 1编程入门零基础 go语言 电脑编程计算机书籍 深入自学指南大全 数 ,2022-01-01,机械工业出版社,¥115.00,¥157.00,7.33折 ,,https://img3m8.ddimg.cn/12/26/11379282168-1_b_2.jpg
Go 语言, Go语言底层原理剖析 电子工业出版社 新华书店正版，关注店铺成为会员可享店铺专属优惠，团购客户请咨询在线客服！,2021-08-01,电子工业出版社,¥49.50,¥99.00,5折 ,"""深入浅出，层层递进，讲解Go语言背后的逻辑对源码进行逐行解析，系统说明底层原理上百张精美的说明图，让理论学习不再枯燥晦涩大量特性实现方法与防坑秘籍，构建优雅高效的工业级代码深度剖析调试与可视化方法，全面提升对复杂程序的掌控力""",https://img3m7.ddimg.cn/16/22/11012236207-1_b_4.jpg
